Unnamed: 0,land,regbez,kreis,gemeinde,jahr,monat,stunde,wochentag,kategorie,art,typ,licht,strzustand,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,linrefx,linrefy,xgcswgs84,ygcswgs84,ags
64370,9,1,62,0,2016,2,17,4,3,5,3,0,0,0,1,0,0,0.0,0,695492.6998,5330916.3087,11.625956403,48.101491665,09162000
64397,9,1,62,0,2016,2,11,7,3,2,6,0,0,0,1,0,0,0.0,0,685497.0337,5335313.4972,11.493738385,48.144004271,09162000
64449,9,1,62,0,2016,3,6,4,3,2,6,0,1,0,1,0,0,1.0,0,688707.4815,5337837.2275,11.537973818,48.165743693,09162000
64504,9,1,62,0,2016,2,17,7,3,4,2,1,0,0,1,0,0,0.0,0,692140.13,5342396.488,11.586154068,48.205692903,09162000
64600,9,1,62,0,2016,2,18,2,3,6,2,2,1,0,1,1,0,0.0,0,692140.9426,5339737.3767,11.584961809,48.181793332,09162000
64643,9,1,62,0,2016,3,18,4,3,2,6,2,1,0,1,0,0,0.0,0,685091.1652,5333055.8663,11.48730655,48.123829798,09162000
64665,9,1,62,0,2016,3,20,4,3,6,2,2,1,0,1,1,0,0.0,0,692105.0215,5340011.3538,11.584602928,48.184266628,09162000
64693,9,1,62,0,2016,3,19,4,3,6,3,2,1,0,1,1,0,0.0,0,686106.8423,5335233.5597,11.501893343,48.14310767,09162000
64717,9,1,62,0,2016,2,9,2,3,8,1,0,0,0,1,0,0,1.0,0,689674.6666,5344647.6798,11.554010812,48.226667803,09162000
64724,9,1,62,0,2016,2,11,7,3,3,2,0,0,0,1,0,0,0.0,0,687087.579,5335119.466,11.51501443,48.141794526,09162000
64807,9,1,62,0,2016,3,16,4,1,6,4,0,1,0,0,1,0,0.0,1,687765.8699,5335028.8128,11.524083548,48.140779906,09162000
64823,9,1,62,0,2016,2,9,1,3,4,2,0,0,0,1,0,0,0.0,1,692068.921,5340432.133,11.584307984,48.188059393,09162000
64843,9,1,62,0,2016,3,19,5,3,5,3,2,1,0,1,0,0,0.0,0,685305.227,5328871.506,11.488363162,48.086156318,09162000
64877,9,1,62,0,2016,3,19,4,3,6,4,2,1,0,1,1,0,0.0,0,687195.565,5329350.467,11.513932215,48.089909121,09162000
64880,9,1,62,0,2016,3,19,4,3,2,6,2,1,0,1,0,0,0.0,0,695136.1911,5343738.9786,11.62705408,48.216844565,09162000
64910,9,1,62,0,2016,3,19,4,3,6,4,2,1,0,0,1,1,0.0,1,694285.8256,5340625.3729,11.614193023,48.189121985,09162000
64959,9,1,62,0,2016,3,16,4,3,5,3,0,0,0,1,0,0,0.0,0,685946.094,5340778.9353,11.502159393,48.192998403,09162000
65014,9,1,62,0,2016,3,2,1,3,8,7,2,1,0,1,0,0,0.0,0,698931.8132,5335031.0984,11.674020433,48.137407664,09162000
65036,9,1,62,0,2016,3,11,2,3,3,2,0,0,0,1,0,0,0.0,0,683868.1896,5335418.8973,11.47190769,48.145424508,09162000
65042,9,1,62,0,2016,3,10,7,3,3,6,0,0,0,1,0,0,0.0,0,685436.8389,5340933.4954,11.495380919,48.194536535,09162000
65077,9,1,62,0,2016,3,8,6,3,2,6,0,0,0,1,0,0,0.0,0,692135.0,5331255.1094,11.581054492,48.105558138,09162000
65125,9,1,62,0,2016,3,9,3,3,1,6,0,0,0,1,0,0,0.0,0,694475.6911,5341433.5473,11.617115075,48.196327344,09162000
